"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3_DIN965_Pad";4;"MountingHole_3.2mm_M3_DIN965_Pad";;;
2;"C201,C401,C601,C602,C603,C501,C206";"C_0402_1005Metric";7;"100n";;;
3;"J604";"PinHeader_1x03_P2.54mm_Vertical";1;"UART";;;
4;"C101";"C_0603_1608Metric";1;"4µ7 16V";;;
5;"C102,C103";"C_0402_1005Metric";2;"2µ2 6V3";;;
6;"C301";"CP_Radial_D8.0mm_P3.50mm";1;">10µ 35V";;;
7;"C302";"C_0603_1608Metric";1;"100n 50V";;;
8;"C303";"C_0402_1005Metric";1;"100n 50V";;;
9;"C304";"C_0402_1005Metric";1;"1µ 6V3 X7R";;;
10;"C305";"C_0402_1005Metric";1;"1µ 16V X7R";;;
11;"C306";"C_0402_1005Metric";1;"47n 50V X7R";;;
12;"D601";"LED_0402_1005Metric";1;"Blue";;;
13;"D602";"LED_0402_1005Metric";1;"Red";;;
14;"J101";"PinHeader_1x05_P2.54mm_Vertical";1;"CAN+PWR";;;
15;"J102,J503";"Pin_D1.0mm_L10.0mm";2;"3V3";;;
16;"J103";"Pin_D1.0mm_L10.0mm";1;"5V";;;
17;"J104,J504,TP302";"Pin_D1.0mm_L10.0mm";3;"GND";;;
18;"J105";"Pin_D1.0mm_L10.0mm";1;"Gpio";;;
19;"J106,TP315,TP324";"Pin_D1.0mm_L10.0mm";3;"U";;;
20;"J107,TP314,TP323";"Pin_D1.0mm_L10.0mm";3;"V";;;
21;"J108,TP313,TP322";"Pin_D1.0mm_L10.0mm";3;"W";;;
22;"J109";"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal";1;"Conn_01x03_Female";;;
23;"J202";"Pin_D1.0mm_L10.0mm";1;"B";;;
24;"J203";"Pin_D1.0mm_L10.0mm";1;"A";;;
25;"J301";"PinHeader_1x02_P2.54mm_Vertical";1;"A";;;
26;"J302";"PinHeader_1x02_P2.54mm_Vertical";1;"B";;;
27;"J303";"PinHeader_1x02_P2.54mm_Vertical";1;"C";;;
28;"J501";"Pin_D1.0mm_L10.0mm";1;"SCL";;;
29;"J502";"Pin_D1.0mm_L10.0mm";1;"SDA";;;
30;"J601";"PinHeader_1x03_P2.54mm_Vertical";1;"SWD";;;
31;"J605";"Pin_D1.0mm_L10.0mm";1;"OP_INM";;;
32;"J606";"Pin_D1.0mm_L10.0mm";1;"OP_OUT";;;
33;"J607";"Pin_D1.0mm_L10.0mm";1;"PA0";;;
34;"J608";"Pin_D1.0mm_L10.0mm";1;"PH1";;;
35;"J609";"Pin_D1.0mm_L10.0mm";1;"PH0";;;
36;"JP301";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SPC";;;
37;"JP302";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SPB";;;
38;"JP303";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SPA";;;
39;"Q301,Q302,Q303";"DFN-12-2EP_3.3x5mm_Pitch0.65mm";3;"FDMD82xx";;;
40;"R101,R301,R603,R605,R606,R607,R608";"R_0402_1005Metric";7;"10k";;;
41;"R102,R103,R104,R601,R602,R604";"R_0402_1005Metric";6;"1k";;;
42;"R105,R106,R107";"R_0402_1005Metric";3;"20k";;;
43;"R302,R303,R304";"R_0805_2012Metric";3;"5m";;;
44;"R501,R502";"R_0402_1005Metric";2;"4k7";;;
45;"TP303,TP304";"Pin_D1.0mm_L10.0mm";2;"UP";;;
46;"TP305";"Pin_D1.0mm_L10.0mm";1;"VP";;;
47;"TP306";"Pin_D1.0mm_L10.0mm";1;"VN";;;
48;"TP307";"Pin_D1.0mm_L10.0mm";1;"WP";;;
49;"TP308";"Pin_D1.0mm_L10.0mm";1;"WN";;;
50;"TP309";"Pin_D1.0mm_L10.0mm";1;"MOSI";;;
51;"TP310";"Pin_D1.0mm_L10.0mm";1;"MISO";;;
52;"TP311";"Pin_D1.0mm_L10.0mm";1;"SCK";;;
53;"TP312";"Pin_D1.0mm_L10.0mm";1;"~CS";;;
54;"TP316";"Pin_D1.0mm_L10.0mm";1;"GH_U";;;
55;"TP317";"Pin_D1.0mm_L10.0mm";1;"GL_U";;;
56;"TP318";"Pin_D1.0mm_L10.0mm";1;"GH_W";;;
57;"TP319";"Pin_D1.0mm_L10.0mm";1;"GL_W";;;
58;"TP320";"Pin_D1.0mm_L10.0mm";1;"GH_V";;;
59;"TP321";"Pin_D1.0mm_L10.0mm";1;"GL_V";;;
60;"U101";"WLCSP-6_1.4x1.0mm_P0.4mm";1;"ADP7112ACBZ-3.3-R7";;;
61;"U102";"WLCSP-6_1.4x1.0mm_P0.4mm";1;"ADP7112ACBZ-5.0-R7";;;
62;"U301";"QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm";1;"DRV8323S";;;
63;"U401";"SOT-23-8";1;"TCAN330";;;
