"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TP601";"Measurement_Point_Round-SMD-Pad_Smaller_0.5mm";1;"~RST";;;
2;"J101";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"CAN+PWR";;;
3;"C101,C103";"C_0603";2;"1µ 16V";;;
4;"C102,C104";"C_0603";2;"1µ 6V3";;;
5;"C201,C401,C601,C602";"C_0603";4;"100n";;;
6;"C302,C306";"C_0603";2;"100n 50V";;;
7;"C303";"C_0603";1;"1µ 6V3 X7R";;;
8;"C304";"C_0603";1;"1µ 16V X7R";;;
9;"C305";"C_0603";1;"47n 50V X7R";;;
10;"D201,D602";"LED_0603";2;"Red";;;
11;"D202";"LED_0603";1;"Yellow";;;
12;"D601";"LED_0603";1;"Blue";;;
13;"R201,R202,R601,R602";"R_0603";4;"1k";;;
14;"U101";"DFN-6-1EP_2x2mm_Pitch0.5mm";1;"NCP4623HMX033TCG";;;
15;"U201";"SSOP-16_4.4x5.2mm_Pitch0.65mm";1;"AS5045B";;;
16;"U301";"QFN-40-1EP_6x6mm_Pitch0.5mm";1;"DRV8323S";;;
17;"U401";"SOT-23-8";1;"TCAN330";;;
18;"U601";"QFN-48-1EP_7x7mm_Pitch0.5mm";1;"STM32L433C(B-C)Ux_u";;;
19;"C301";"CP_Radial_D4.0mm_P2.00mm";1;">10µ 35V";;;
20;"U501";"WCSP-8_1.6x1.6mm_P0.5mm";1;"TMP006";;;
21;"J102";"Measurement_Point_Round-TH_Small";1;"U";;;
22;"J103";"Measurement_Point_Round-TH_Small";1;"V";;;
23;"J104";"Measurement_Point_Round-TH_Small";1;"W";;;
24;"J105";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"U";;;
25;"J106";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"V";;;
26;"J107";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"W";;;
27;"J201";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"A";;;
28;"J202";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"B";;;
29;"J203";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"6V";;;
30;"J204,J601,J504,J111";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";4;"GND";;;
31;"J501";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"SCL";;;
32;"J502";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"SDA";;;
33;"J602";"Measurement_Point_Round-SMD-Pad_Smaller_0.5mm";1;"SWCLK";;;
34;"J603";"Measurement_Point_Round-SMD-Pad_Smaller_0.5mm";1;"SWDIO";;;
35;"J604";"Measurement_Point_Round-SMD-Pad_Smaller_0.5mm";1;"TX";;;
36;"TP602";"Measurement_Point_Round-SMD-Pad_Smaller_0.5mm";1;"BK";;;
37;"TP603";"Measurement_Point_Round-SMD-Pad_Smaller_0.5mm";1;"DAC";;;
38;"J503,J109";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";2;"3V3";;;
39;"U102";"DFN-6-1EP_2x2mm_Pitch0.5mm";1;"NCP4623HMX050TCG";;;
40;"J108";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"5V";;;
41;"J110";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"IO";;;
42;"Q303,Q302,Q301";"DFN-12-2EP_3.3x5mm_Pitch0.65mm";3;"FDMD82xx";;;
43;"R301,R302,R303";"R_0805";3;"5m";;;
