"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U502";"Texas_SIL0010A_MicroSiP-10-1EP_3.8x3mm_P0.6mm_EP0.7x2.9mm";1;"LMZM23601V5";;;
2;"U501";"Texas_SIL0010A_MicroSiP-10-1EP_3.8x3mm_P0.6mm_EP0.7x2.9mm";1;"LMZM23601V3";;;
3;"R117,R116,R115";"R_0402_1005Metric";3;"10R";;;
4;"C307";"C_0402_1005Metric";1;"1u";;;
5;"C103,C102,C101";"C_0402_1005Metric";3;"10n";;;
6;"U401";"QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm";1;"DRV8320S";;;
7;"R114";"R_0402_1005Metric";1;"0";;;
8;"C401";"CP_Radial_D10.0mm_P5.00mm";1;">10µ 35V";;;
9;"C409,C408,C407";"C_1210_3225Metric";3;"22µ 35V 1210";;;
10;"C412,C411,C410,C201,C403,C402,C306,C305,C304,C303,C302,C301";"C_0402_1005Metric";12;"100n";;;
11;"R113,R112,R111,R401,R108,R101";"R_0402_1005Metric";6;"10k";;;
12;"C502,C501,C504,C503";"C_0805_2012Metric";4;"22µ 10V 0805";;;
13;"U404,U403,U402";"TSSOP-8_4.4x3mm_P0.65mm";3;"INA240A2PW";;;
14;"U301";"LQFP-48_7x7mm_P0.5mm";1;"STM32G474CET6";;;
15;"U201";"SOT-23-8";1;"TCAN332";;;
16;"TP303";"TestPoint_Pad_D1.0mm";1;"BK";;;
17;"TP302";"TestPoint_Pad_D1.0mm";1;"DAC1";;;
18;"TP301";"TestPoint_Pad_D1.0mm";1;"DAC2";;;
19;"TP103";"TestPoint_Pad_D1.0mm";1;"W";;;
20;"TP102";"TestPoint_Pad_D1.0mm";1;"V";;;
21;"TP101";"TestPoint_Pad_D1.0mm";1;"U";;;
22;"R404,R403,R402";"R_0805_2012Metric";3;"5m";;;
23;"R306,R305,R304,R110,R107,R105,R103";"R_0402_1005Metric";7;"1k";;;
24;"R109,R106,R104,R102";"R_0402_1005Metric";4;"20k";;;
25;"Q403,Q402,Q401";"DFN-12-2EP_3.3x5mm_Pitch0.65mm";3;"FDMD82xx";;;
26;"J303";"JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical";1;"SWD";;;
27;"J302";"JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical";1;"UART";;;
28;"J301";"USB_Micro-B_Molex-105133-0001";1;"USB";;;
29;"J201";"JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical";1;"CAN";;;
30;"J106";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Motor";;;
31;"J105";"JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical";1;"NTC";;;
32;"J104";"JST_GH_BM05B-GHS-TBT_1x05-1MP_P1.25mm_Vertical";1;"Encoder";;;
33;"J103";"JST_GH_BM05B-GHS-TBT_1x05-1MP_P1.25mm_Vertical";1;"Hall";;;
34;"J102";"JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical";1;"SW";;;
35;"J101";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"SUPPLY";;;
36;"D303";"LED_0402_1005Metric";1;"DAC2/green";;;
37;"D302";"LED_0402_1005Metric";1;"DAC1/red";;;
38;"D301";"LED_0402_1005Metric";1;"POWER/blue";;;
39;"C406";"C_0402_1005Metric";1;"47n 50V X7R";;;
40;"C405";"C_0603_1608Metric";1;"1µ 16V X7R";;;
41;"C404";"C_0603_1608Metric";1;"1µ 6V3 X7R";;;
