"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TP601";"Measurement_Point_Round-SMD-Pad_Smaller_0.5mm";1;"~RST";;;
2;"J101";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"CAN+PWR";;;
3;"C101";"C_0603";1;"1µ 16V";;;
4;"C102";"C_0603";1;"1µ 6V3";;;
5;"C201,C401,C601,C602";"C_0603";4;"100n";;;
6;"C302";"C_0603";1;"100n 50V";;;
7;"C303";"C_0603";1;"1µ 6V3 X7R";;;
8;"C304";"C_0603";1;"1µ 16V X7R";;;
9;"C305";"C_0603";1;"47n 50V X7R";;;
10;"D201,D602";"LED_0603";2;"Red";;;
11;"D202";"LED_0603";1;"Yellow";;;
12;"D601";"LED_0603";1;"Blue";;;
13;"R201,R202,R601,R602";"R_0603";4;"1k";;;
14;"U101";"DFN-6-1EP_2x2mm_Pitch0.5mm";1;"NCP4623HMX033TCG";;;
15;"U201";"SSOP-16_4.4x5.2mm_Pitch0.65mm";1;"AS5045B";;;
16;"U301";"QFN-40-1EP_6x6mm_Pitch0.5mm";1;"DRV8323S";;;
17;"U401";"SOT-23-8";1;"TCAN330";;;
18;"U601";"QFN-48-1EP_7x7mm_Pitch0.5mm";1;"STM32L433C(B-C)Ux_u";;;
19;"C301";"CP_Radial_D4.0mm_P2.00mm";1;">10µ 35V";;;
20;"R301,R302,R303";"R_0603";3;"5m";;;
21;"Q301,Q302,Q303";"DFN-12-2EP_3.3x5mm_Pitch0.65mm";3;"FDMD82xx";;;
22;"U501";"WCSP-8_1.6x1.6mm_P0.5mm";1;"TMP006";;;
23;"J102";"Measurement_Point_Round-TH_Small";1;"U";;;
24;"J103";"Measurement_Point_Round-TH_Small";1;"V";;;
25;"J104";"Measurement_Point_Round-TH_Small";1;"W";;;
26;"J105";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"U";;;
27;"J106";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"V";;;
28;"J107";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"W";;;
29;"J201";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"A";;;
30;"J202";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"B";;;
31;"J203";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"6V";;;
32;"J204,J601,J504";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";3;"GND";;;
33;"J501";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"SCL";;;
34;"J502";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"SDA";;;
35;"J602";"Measurement_Point_Round-SMD-Pad_Smaller_0.5mm";1;"SWCLK";;;
36;"J603";"Measurement_Point_Round-SMD-Pad_Smaller_0.5mm";1;"SWDIO";;;
37;"J604";"Measurement_Point_Round-SMD-Pad_Smaller_0.5mm";1;"TX";;;
38;"TP602";"Measurement_Point_Round-SMD-Pad_Smaller_0.5mm";1;"BK";;;
39;"TP603";"Measurement_Point_Round-SMD-Pad_Smaller_0.5mm";1;"DAC";;;
40;"J503";"Measurement_Point_Round-SMD-Pad_Smaller_0.75mm";1;"3V3";;;
